SRR4098430	SRR4098431	SRR4098432	SRR4098433
IMMP1L	148	122	106	77
ELP4	539	369	447	339
PAX6	59	67	31	32
DKFZp686K1684	0	0	0	0
PAUPAR	0	0	0	0
LOC100506675	0	0	0	0
RCN1	3428	2482	2279	2107
WT1	0	0	0	0
WT1-AS	1	0	0	0
EIF3M	6244	4305	4247	3916
CCDC73	752	605	532	380
PRRG4	164	134	152	143
QSER1	2028	1515	1131	980
DEPDC7	201	197	206	246
TCP11L1	144	91	234	253
LINC00294	58	68	121	86
CSTF3	1107	725	830	789
CSTF3-AS1	5	1	1	2
HIPK3	745	673	926	807
KIAA1549L	18	19	28	18
C11orf91	17	4	10	4
CD59	3838	2006	2014	1575
FBXO3	769	506	600	528
FBXO3-AS1	0	0	1	0
LMO2	24	39	40	43
CAPRIN1	9520	6769	4916	4231
NAT10	7838	5106	5485	4294
ABTB2	571	453	575	298
CAT	935	781	975	935
ELF5	5	2	0	1
EHF	1563	1316	2275	2516
APIP	723	597	420	465
PDHX	868	566	698	510
MIR1343	0	0	0	0
LOC100507144	5	2	4	5
CD44	18180	10467	10330	8041
SLC1A2	1	0	0	1
PAMR1	0	0	0	0
FJX1	1000	707	808	413
TRIM44	1491	969	1111	1019
LDLRAD3	803	727	628	568
MIR3973	0	0	0	0
COMMD9	1014	697	838	595
PRR5L	2	6	1	5
TRAF6	329	247	267	241
RAG1	3	7	21	4
RAG2	8	4	8	3
C11orf74	129	111	108	66
LOC103312105	0	0	0	0
LINC01493	0	0	0	0
LRRC4C	0	0	0	0
LINC01499	0	0	0	0
LOC100507205	0	0	0	0
HNRNPKP3	1	1	1	1
API5	4710	3399	2864	2438
TTC17	1680	1041	1295	1131
MIR670	0	0	0	0
MIR670HG	0	0	0	0
MIR129-2	0	0	0	0
HSD17B12	1850	1266	1736	1301
ALKBH3	990	573	605	499
SEC14L1P1	80	36	38	43
ALKBH3-AS1	8	1	4	2
C11orf96	0	0	0	1
ACCSL	1	0	5	0
ACCS	96	59	133	127
EXT2	4066	2736	3237	2727
ALX4	4	7	7	1
CD82	140	124	943	766
TSPAN18	370	419	497	517
TP53I11	810	764	1615	1153
LOC221122	0	0	0	0
PRDM11	98	89	132	112
SYT13	97	153	122	86
LOC101928812	0	0	0	0
LOC399886	0	0	0	0
CHST1	0	7	1	7
MIR7154	0	0	0	0
LOC100507384	0	0	0	0
DKFZp779M0652	0	0	0	0
SLC35C1	1020	711	1129	665
CRY2	409	403	773	486
MAPK8IP1	239	258	195	136
C11orf94	1	1	0	1
PEX16	869	640	838	638
GYLTL1B	1691	1190	1706	1334
PHF21A	397	484	522	639
LOC101928894	0	1	0	0
CREB3L1	0	0	1	0
DGKZ	3885	2874	3576	2578
MIR4688	0	0	0	0
MDK	4110	3412	3510	2781
CHRM4	12	16	9	5
AMBRA1	1015	762	858	732
MIR3160-1	0	0	0	0
MIR3160-2	0	0	0	0
HARBI1	102	51	94	103
ATG13	1689	1386	2002	1660
ARHGAP1	1664	1045	1547	1251
ZNF408	534	382	460	374
F2	2	1	0	2
CKAP5	9969	6659	4140	3404
MIR5582	0	0	0	0
SNORD67	47	24	32	30
LRP4-AS1	37	42	25	23
LRP4	456	447	312	263
C11orf49	401	364	466	317
ARFGAP2	3102	1994	2197	1934
PACSIN3	1726	1409	1391	1229
MIR6745	0	0	0	0
DDB2	1138	827	3124	2505
ACP2	1154	821	853	636
NR1H3	383	325	377	304
MADD	1887	1532	1647	1360
LOC101928943	0	0	3	1
MYBPC3	2	8	19	21
SPI1	0	0	5	0
MIR4487	0	0	0	0
SLC39A13	706	511	1000	827
PSMC3	13412	9136	8387	5908
RAPSN	3	1	8	5
CELF1	2747	1978	2565	2168
PTPMT1	2559	1815	1550	1158
KBTBD4	2126	1152	1179	896
NDUFS3	3370	2400	2278	1669
FAM180B	1	2	2	3
C1QTNF4	0	0	4	0
MTCH2	2716	1953	1679	1496
AGBL2	1	1	1	0
FNBP4	2057	1642	1490	1445
NUP160	3422	2512	2323	1884
PTPRJ	1206	1021	1349	1037
MIR3161	0	0	0	0
OR4B1	0	0	0	0
OR4X2	0	0	0	0
OR4X1	0	0	0	0
OR4S1	0	0	0	0
OR4C3	0	0	0	0
OR4A47	0	0	0	0
TRIM49B	0	0	0	0
TRIM64C	0	0	0	0
FOLH1	0	0	0	0
LOC440040	0	0	0	0
OR4C13	0	0	0	0
OR4C12	0	1	0	0
OR4C45	0	0	0	0
LOC441601	72	62	35	63
LOC646813	1	0	0	0
OR4C46	0	0	0	0
OR4A5	0	0	0	0
TRIM48	0	0	0	0
TRIM51HP	0	0	0	0
OR4A16	0	0	0	0
OR4A15	0	0	0	0
OR4C15	0	0	0	0
OR4C16	0	0	0	0
OR4C11	0	0	0	0
OR4P4	0	0	0	0
OR4S2	0	0	0	0
OR4C6	0	0	0	0
OR5D13	0	0	0	0
OR5D14	0	0	0	0
OR5L1	0	0	0	0
OR5D18	0	0	0	0
OR5L2	0	0	0	0
OR5D16	0	0	0	0
TRIM51	0	0	0	0
OR5W2	0	0	0	0
OR5I1	0	0	0	0
OR10AG1	0	0	0	0
OR7E5P	1	0	0	0
OR5F1	0	0	0	0
OR5AS1	0	0	0	0
OR8I2	0	0	0	0
OR8H2	0	0	0	0
OR8H3	0	0	0	0
OR8J3	0	0	0	0
OR8K5	0	0	0	0
OR5J2	0	0	0	0
OR5T2	0	0	0	0
OR5T3	0	0	0	0
OR5T1	0	0	0	0
OR8H1	0	0	0	0
OR8K3	0	0	0	0
OR8K1	0	0	0	0
OR8J1	0	0	0	0
OR8U8	0	0	0	0
OR8U1	0	0	0	0
OR5R1	0	0	0	0
OR5M9	0	0	0	0
OR5M3	0	0	0	0
OR5M8	0	0	0	0
OR5M11	0	0	0	0
OR5M10	0	0	0	0
OR5M1	0	0	0	0
OR5AP2	0	0	0	0
OR5AR1	0	0	0	0
OR9G9	0	1	0	0
OR9G1	0	1	0	0
OR9G4	0	0	0	0
MIR6128	0	0	0	0
LOC101927120	0	0	0	0
OR5AK2	0	0	0	0
OR5AK4P	0	0	0	0
LRRC55	0	0	0	0
APLNR	0	0	0	0
TNKS1BP1	1154	1187	1265	962
SSRP1	19264	15155	10718	8648
P2RX3	0	0	1	0
PRG3	0	0	0	0
PRG2	28	34	42	33
SLC43A3	3250	2157	1278	891
RTN4RL2	481	536	416	252
SLC43A1	130	94	121	127
TIMM10	1747	1140	759	553
SMTNL1	0	2	3	0
UBE2L6	296	327	389	335
SERPING1	40	44	36	19
MIR130A	0	0	0	0
YPEL4	1	4	1	0
CLP1	941	697	1045	863
ZDHHC5	4061	2934	3655	2745
MED19	511	386	390	305
TMX2	4337	2996	2792	2220
TMX2-CTNND1	5795	4399	5267	4817
C11orf31	1861	1460	1594	1335
BTBD18	4	2	2	1
CTNND1	5662	4270	5220	4828
OR9Q1	0	0	0	0
OR6Q1	0	0	0	1
OR9I1	0	0	0	0
OR9Q2	1	0	0	0
OR1S2	0	0	0	0
OR1S1	0	0	0	0
OR10Q1	0	0	0	0
OR10W1	0	0	0	0
OR5B17	0	0	0	0
OR5B3	0	0	0	0
OR5B2	0	0	0	0
OR5B12	0	0	0	0
OR5B21	0	0	0	1
LPXN	34	26	58	56
ZFP91-CNTF	1478	1003	1012	816
ZFP91	3048	2135	2098	1778
CNTF	76	67	42	34
GLYAT	0	0	1	2
GLYATL2	0	0	0	0
GLYATL1	0	0	2	2
LOC283194	2	0	2	0
FAM111B	562	426	107	70
LOC101927204	31	23	41	38
FAM111A	1057	655	473	352
DTX4	170	186	259	209
MPEG1	0	0	0	0
OR5AN1	0	0	0	0
OR5A2	0	0	0	0
OR5A1	0	0	0	0
OR4D6	0	0	0	0
OR4D10	0	0	0	0
OR4D11	0	1	0	1
OR4D9	0	0	0	0
OSBP	2627	1993	2208	1973
MIR3162	0	0	0	0
PATL1	1467	1015	853	750
OR10V1	1	0	0	0
OR10V2P	0	1	0	0
STX3	1533	899	989	728
MRPL16	1962	1331	1251	1000
GIF	0	0	0	1
TCN1	39	22	16	7
OOSP1	0	0	0	0
OOSP2	0	0	0	0
MS4A3	1	0	0	0
MS4A2	0	0	0	0
MS4A6A	0	0	0	0
MIR6503	0	0	0	0
MS4A4A	0	0	0	0
MS4A6E	0	0	0	0
MS4A7	1	0	0	0
MS4A14	0	1	0	0
MS4A5	0	0	0	0
MS4A1	1	0	0	0
MS4A12	0	0	0	1
MS4A13	0	0	2	0
LINC00301	0	0	0	0
MS4A8	0	0	0	0
MS4A18	0	0	0	0
MS4A15	9	13	24	39
MS4A10	0	0	0	0
CCDC86	5397	4014	4005	2906
PTGDR2	235	186	161	90
ZP1	1	1	3	2
PRPF19	10111	6944	6026	4123
TMEM109	1576	1247	849	624
TMEM132A	2555	2102	2539	1898
SLC15A3	28	11	22	8
CD6	0	0	0	0
CD5	4	2	1	2
VPS37C	783	576	560	435
PGA3	0	0	0	1
PGA4	0	0	0	0
PGA5	0	0	0	0
VWCE	23	29	63	48
DDB1	14389	11034	11971	10174
TKFC	1832	1495	1950	1628
CYB561A3	1333	1004	920	618
TMEM138	1140	678	571	465
TMEM216	488	405	394	249
CPSF7	5516	4369	3987	3427
SDHAF2	1224	834	852	663
PPP1R32	57	58	81	75
MIR4488	0	0	0	0
LRRC10B	0	0	0	0
SYT7	1652	1492	1413	1116
LOC101927495	0	0	0	1
RPLP0P2	123	74	86	85
DAGLA	244	236	240	225
MYRF	1998	1795	1932	1703
DKFZP434K028	7	1	1	1
TMEM258	1179	960	962	761
MIR611	1	1	14	1
FEN1	6034	4359	2158	1349
FADS1	1231	1137	1216	990
MIR1908	0	0	1	0
FADS2	284	377	427	369
FADS3	911	750	1683	1354
MIR6746	1	0	0	0
RAB3IL1	640	595	467	368
BEST1	39	10	26	12
FTH1	39969	20446	30499	20629
INCENP	4238	2630	1637	1017
SCGB1D1	0	0	0	0
SCGB2A1	0	0	2	0
SCGB1D2	0	0	0	0
SCGB2A2	0	0	0	0
SCGB1D4	0	0	0	0
ASRGL1	743	675	531	438
SCGB1A1	0	0	0	0
AHNAK	24618	18469	35131	35605
EEF1G	15066	10481	12366	10385
MIR3654	630	613	372	402
MIR6747	1	0	0	0
TUT1	1130	884	1110	879
MTA2	5396	4083	5774	4800
EML3	2109	2009	1908	1609
ROM1	41	29	43	25
B3GAT3	1182	979	1481	1088
GANAB	18263	13650	15040	12025
INTS5	1440	1087	1144	815
LBHD1	3691	2612	2149	1398
C11orf98	4472	3208	2526	1722
METTL12	185	181	287	234
SNORA57	113	49	94	56
UQCC3	1788	1338	1000	594
UBXN1	3246	2724	2954	2309
LRRN4CL	4	8	14	2
BSCL2	1984	1666	1990	1553
HNRNPUL2-BSCL2	5463	4851	4388	3281
GNG3	66	26	34	58
HNRNPUL2	4974	4359	3337	2507
TTC9C	362	256	372	309
ZBTB3	86	58	114	71
POLR2G	2284	1703	1872	1454
TAF6L	983	647	692	480
TMEM179B	979	692	852	627
MIR6748	13	9	20	22
TMEM223	536	468	486	345
NXF1	3177	2263	1956	1400
MIR6514	2	1	0	1
STX5	855	710	1004	776
WDR74	3791	2442	2276	1683
RNU2-2P	11	7	5	12
SNHG1	7555	5019	3862	3242
SNORD22	386	251	121	178
SNORD31	421	264	237	169
SNORD30	67	53	27	24
SNORD29	97	81	45	27
SNORD28	173	63	51	44
SNORD27	108	50	30	24
SNORD26	239	211	113	131
SNORD25	502	382	394	445
SLC3A2	15683	11123	10645	8737
CHRM1	1	4	4	0
SLC22A6	0	0	0	0
SLC22A8	0	0	0	0
SLC22A24	0	0	0	0
SLC22A25	0	0	0	0
SLC22A10	0	0	0	0
SLC22A9	0	0	0	0
HRASLS5	0	0	0	0
LGALS12	0	0	0	0
RARRES3	0	0	0	0
HRASLS2	1	0	1	2
PLA2G16	381	372	413	381
ATL3	1524	906	800	679
RTN3	1797	1391	1175	853
C11orf95	860	554	672	417
C11orf84	2030	1640	1092	815
MARK2	1939	1531	1654	1191
RCOR2	295	308	277	252
NAA40	1182	965	1080	894
RNU6-45P	1	0	3	0
COX8A	7122	6331	6347	5427
OTUB1	4003	2802	3157	2201
MACROD1	902	750	889	986
FLRT1	22	14	24	14
STIP1	31197	22845	15969	12805
FERMT3	32	44	51	34
TRPT1	333	351	380	331
NUDT22	687	468	706	481
DNAJC4	359	275	402	356
VEGFB	671	694	688	459
FKBP2	1246	1025	1351	913
PPP1R14B	7823	4568	5208	3648
PLCB3	4958	4469	4052	3105
BAD	747	850	615	449
GPR137	284	248	311	180
KCNK4	0	1	2	37
TEX40	4	5	1	7
ESRRA	2078	1584	2126	1605
TRMT112	5055	3384	4080	2940
PRDX5	2942	2334	2419	2340
CCDC88B	199	193	250	187
MIR7155	0	0	0	0
RPS6KA4	5906	3589	3792	2528
MIR1237	0	0	0	0
LOC100996455	10	6	6	9
SLC22A11	0	0	2	0
SLC22A12	0	0	0	0
NRXN2	12	8	13	5
RASGRP2	111	151	145	108
PYGM	41	8	25	14
SF1	9347	6628	5134	4139
MAP4K2	1190	1089	1224	1019
MEN1	2700	1992	2668	1928
CDC42BPG	1119	1050	2469	1910
EHD1	2352	1757	2452	1553
MIR192	0	0	0	0
MIR194-2	0	0	0	0
ATG2A	634	465	983	774
MIR6750	0	0	0	1
MIR6749	0	0	0	1
PPP2R5B	261	263	336	366
GPHA2	0	0	0	0
C11orf85	0	0	0	0
BATF2	26	25	39	32
ARL2	776	632	735	585
ARL2-SNX15	725	544	734	614
MIR6879	0	0	0	0
SNX15	330	249	396	353
SAC3D1	630	524	622	422
NAALADL1	3	6	3	3
CDCA5	5659	3916	1564	930
ZFPL1	661	397	483	324
TMEM262	2	4	0	0
VPS51	2783	2269	2630	2030
TM7SF2	191	195	650	514
ZNHIT2	703	370	469	318
FAU	13587	9202	11265	7572
MRPL49	4809	3243	3797	2646
SYVN1	1166	906	1354	1028
MIR6751	1	3	6	0
SPDYC	10	14	18	16
CAPN1	9395	7348	11112	8722
SLC22A20	26	20	29	19
POLA2	1616	1306	661	500
CDC42EP2	499	370	606	522
DPF2	2540	1853	1959	1611
TIGD3	67	60	26	16
SLC25A45	59	34	87	62
FRMD8	1094	820	1353	939
NEAT1	5690	5945	15401	18425
MIR612	0	0	0	2
MALAT1	9043	5668	6179	9544
SCYL1	3680	3261	3146	2270
LTBP3	3475	2565	3508	2649
SSSCA1-AS1	37	23	35	14
SSSCA1	2165	1304	1675	959
FAM89B	544	485	653	535
EHBP1L1	3274	2974	2713	2375
KCNK7	7	5	6	11
MAP3K11	1645	1521	1716	1282
PCNXL3	3364	2456	3216	2107
MIR4690	0	3	1	0
SIPA1	1200	1267	1025	778
MIR4489	0	1	1	7
RELA	2492	1886	2050	1544
KAT5	2761	1771	1718	1272
RNASEH2C	1693	1201	1241	908
AP5B1	925	807	991	597
OVOL1	298	281	397	359
OVOL1-AS1	12	6	9	30
SNX32	0	3	4	1
CFL1	33742	23653	23616	19812
MUS81	1315	862	1088	807
EFEMP2	20	14	33	40
CTSW	15	5	12	4
FIBP	2269	1907	1869	1484
CCDC85B	1323	1530	1060	822
FOSL1	6433	3386	3244	1903
C11orf68	1585	989	1369	848
DRAP1	4717	3330	3415	2239
TSGA10IP	2	0	1	0
SART1	4735	3890	2903	2326
EIF1AD	1471	1011	1101	717
BANF1	5269	3262	3475	2768
CST6	2232	1552	2715	2111
CATSPER1	48	83	92	88
GAL3ST3	4	4	4	4
SF3B2	13759	10570	7603	5839
PACS1	1669	1369	1553	1307
KLC2	3624	2904	2833	2154
RAB1B	4933	3954	3949	2830
CNIH2	5	14	6	3
YIF1A	994	616	820	580
TMEM151A	207	183	272	177
CD248	4	5	0	0
RIN1	1095	647	1962	1640
BRMS1	3144	2051	2411	1793
B4GAT1	340	262	245	222
SLC29A2	1236	913	1090	953
NPAS4	0	0	1	0
MRPL11	2492	1804	1763	1370
PELI3	376	331	450	269
LOC101928069	45	49	104	58
DPP3	2732	2009	2717	1851
BBS1	414	318	735	537
ZDHHC24	74	78	152	120
ACTN3	1	0	0	4
CTSF	0	0	2	0
CCDC87	5	8	4	14
CCS	598	443	665	660
RBM14-RBM4	2029	1264	1955	1504
RBM14	3653	2580	3004	2158
RBM4	2401	1576	2263	1880
RBM4B	415	309	303	216
SPTBN2	1332	1080	944	828
C11orf80	242	200	189	172
RCE1	1066	690	828	385
PC	326	346	494	510
LRFN4	1158	809	1245	771
MIR3163	0	0	0	0
C11orf86	2	1	1	4
SYT12	152	117	188	147
MIR6860	0	0	0	0
RHOD	1050	739	2600	1730
KDM2A	3976	2609	3008	2213
ADRBK1	4450	3359	3113	2337
ANKRD13D	732	509	642	485
SSH3	705	666	887	732
LOC100130987	83	73	74	74
POLD4	411	339	526	598
CLCF1	710	429	426	344
RAD9A	1072	934	830	574
PPP1CA	7124	5222	5708	3919
TBC1D10C	1	0	1	0
CARNS1	14	10	30	56
RPS6KB2	2060	1836	1851	1440
PTPRCAP	24	12	30	31
CORO1B	3136	2256	3783	2876
GPR152	0	0	0	0
CABP4	1	0	1	0
TMEM134	286	230	368	260
AIP	1308	1141	1198	945
MIR6752	1	0	1	0
PITPNM1	1548	1318	1720	1252
CDK2AP2	830	600	817	463
CABP2	0	0	0	0
GSTP1	12594	9278	10362	7432
C11orf72	0	0	0	0
NDUFV1	5795	3870	4943	3782
DOC2GP	0	1	1	2
NUDT8	49	44	66	37
TBX10	0	1	0	0
ACY3	0	11	1	0
ALDH3B2	1	1	0	1
FAM86C2P	165	143	177	168
RNU6-46P	0	0	0	0
UNC93B1	1129	937	1774	1041
ALDH3B1	211	312	381	366
NDUFS8	2375	1845	2430	1586
MIR7113	4	0	4	5
MIR4691	16	9	21	26
TCIRG1	1061	884	811	694
MIR6753	4	18	21	11
CHKA	913	914	924	636
SUV420H1	1021	847	901	800
C11orf24	1660	1160	1134	893
LRP5	3150	2491	3113	2422
PPP6R3	3916	2808	2095	1758
GAL	2429	1382	1417	844
MTL5	262	211	238	172
CPT1A	3329	2488	2612	1999
MRPL21	4010	2518	2269	1772
IGHMBP2	808	608	736	520
MRGPRD	0	0	0	0
MRGPRF	12	5	10	2
MRGPRF-AS1	0	0	0	0
TPCN2	613	526	798	636
MIR3164	10	14	5	5
LOC338694	0	1	0	0
MYEOV	5752	3054	5815	4884
LINC01488	0	0	0	0
CCND1	30826	18789	25090	17874
ORAOV1	460	325	419	358
FGF19	366	329	353	339
FGF4	0	0	0	0
FGF3	0	0	0	0
LOC101928443	1	0	0	0
ANO1-AS2	0	0	1	0
ANO1	2471	1738	1728	1136
FADD	1521	944	1188	930
PPFIA1	3585	2437	2228	1671
MIR548K	0	0	0	0
CTTN	6452	4428	6764	5714
SHANK2	196	169	284	241
SHANK2-AS1	0	0	0	0
SHANK2-AS3	0	0	0	0
MIR3664	0	0	0	0
FLJ42102	0	0	1	0
DHCR7	3039	3093	2924	1944
NADSYN1	959	670	2595	2155
MIR6754	0	0	0	0
KRTAP5-7	0	0	0	0
KRTAP5-8	1	0	3	0
KRTAP5-9	4	0	0	3
KRTAP5-10	0	0	1	1
KRTAP5-11	0	0	0	0
FAM86C1	240	197	193	179
ALG1L9P	23	6	23	13
ZNF705E	5	0	4	0
DEFB108B	0	0	0	0
LOC100133315	15	4	18	16
LOC100129216	2	1	0	0
RNF121	886	586	621	454
IL18BP	272	216	161	140
NUMA1	6423	4448	5242	3762
LOC100128494	2236	1531	1903	1394
MIR3165	0	0	0	0
LRTOMT	890	843	760	580
LAMTOR1	2425	1600	1595	1244
ANAPC15	1212	1092	1064	664
FOLR3	0	0	0	0
FOLR1	61	50	52	36
FOLR2	0	0	0	0
INPPL1	2048	2039	2529	2075
PHOX2A	1	0	0	0
CLPB	1239	905	1102	834
LINC01537	0	1	0	0
PDE2A	65	113	133	107
MIR139	0	0	0	0
ARAP1	1882	1566	4045	3464
STARD10	922	811	1297	980
MIR4692	0	0	0	0
ATG16L2	153	85	134	169
FCHSD2	369	339	475	425
MIR4459	0	0	0	0
P2RY2	108	131	381	332
P2RY6	0	0	4	1
ARHGEF17	765	741	1284	923
RELT	888	680	525	327
FAM168A	1234	1181	1637	1434
PLEKHB1	281	181	205	213
RAB6A	1843	1630	1623	1579
MRPL48	989	657	616	498
COA4	2595	1633	1669	1408
PAAF1	371	361	337	347
DNAJB13	0	6	8	9
UCP2	172	184	133	177
UCP3	51	37	53	53
C2CD3	1207	864	911	940
PPME1	2050	1497	1910	1638
P4HA3	6	9	7	0
LOC101928580	0	0	0	0
PGM2L1	76	44	105	89
MIR548AL	0	0	0	0
KCNE3	0	0	0	0
LIPT2	27	17	19	42
POLD3	942	753	246	187
CHRDL2	2	3	4	0
MIR4696	0	0	0	0
RNF169	1149	825	1138	1079
XRRA1	525	380	601	533
SPCS2	784	644	540	516
NEU3	314	256	548	353
OR2AT4	1	0	0	0
SLCO2B1	1	0	1	4
TPBGL	1	12	2	0
ARRB1	759	803	1241	1040
MIR326	1	0	0	0
RPS3	68212	40935	53576	43873
SNORD15A	23	15	3	17
SNORD15B	20	8	8	8
KLHL35	84	46	78	60
GDPD5	463	474	610	444
SERPINH1	5266	3582	3601	2514
MAP6	0	0	1	0
MOGAT2	0	0	0	0
LOC283214	0	0	0	0
DGAT2	118	72	76	61
UVRAG	268	223	128	141
WNT11	12	31	15	7
PRKRIR	1413	966	665	565
LOC100506127	129	91	135	157
C11orf30	848	508	663	587
LRRC32	5	12	6	7
GUCY2EP	0	0	0	0
TSKU	883	806	1372	1075
LOC101928837	1	1	1	1
ACER3	559	484	415	380
B3GNT6	0	0	0	0
CAPN5	104	146	173	178
OMP	0	0	0	0
MYO7A	39	50	126	162
GDPD4	2	0	0	0
PAK1	1809	1356	1028	1097
LOC646029	0	0	0	2
AQP11	6	4	12	10
CLNS1A	2404	1651	1494	1407
RSF1	601	665	555	606
AAMDC	47	43	86	71
INTS4	987	716	664	653
NDUFC2-KCTD14	2349	1758	2115	1345
KCTD14	642	552	513	404
THRSP	1	0	0	0
NDUFC2	2928	1834	2305	1424
ALG8	814	601	402	408
KCTD21-AS1	15	9	34	29
KCTD21	83	52	167	134
USP35	111	118	226	209
GAB2	79	72	101	111
LOC101928865	16	10	5	11
NARS2	1023	820	570	633
LOC101928896	0	0	0	0
TENM4	2	0	30	3
MIR708	0	0	0	0
MIR5579	0	0	0	0
LOC101928944	0	0	0	0
LOC101928989	0	0	0	0
MIR4300	0	0	0	0
FAM181B	2	0	0	0
PRCP	1383	1071	1223	1032
DDIAS	1159	667	402	302
RAB30	76	77	90	81
SNORA70E	0	0	0	0
RAB30-AS1	104	78	86	82
PCF11	1118	734	540	506
ANKRD42	368	230	285	221
CCDC90B	550	374	821	856
DLG2	2	2	0	4
TMEM126B	1055	725	589	466
TMEM126A	672	378	452	377
CREBZF	1804	1574	1483	1235
CCDC89	0	1	1	1
SYTL2	155	290	352	486
CCDC83	2	1	0	1
PICALM	2563	1860	1579	1633
EED	1251	966	627	571
MIR6755	0	0	1	0
C11orf73	661	431	432	332
CCDC81	26	24	21	23
ME3	1	2	2	3
PRSS23	263	194	185	117
OR7E2P	0	0	0	0
FZD4	130	201	156	116
LOC100506368	0	0	0	2
TMEM135	291	330	336	335
RAB38	243	207	242	185
MIR3166	0	0	0	0
CTSC	1810	1381	984	812
GRM5-AS1	0	0	0	0
GRM5	0	1	0	0
RNU6-16P	0	0	0	0
TYR	0	0	0	0
NOX4	0	0	0	0
FOLH1B	0	0	0	0
TRIM77	0	0	0	0
TRIM49	0	0	0	0
TRIM53AP	0	0	0	0
TRIM64B	0	0	0	0
TRIM49D2	0	0	0	0
TRIM49D1	0	0	0	0
TRIM64	0	0	0	0
TRIM49C	0	0	0	0
UBTFL1	0	0	0	0
NAALAD2	3	1	3	0
CHORDC1	2593	2141	1376	1507
DISC1FP1	0	0	0	0
MIR4490	0	0	0	0
MIR1261	0	0	0	0
FAT3	0	0	1	0
MTNR1B	0	0	0	0
SLC36A4	290	296	271	268
CCDC67	0	0	0	0
SMCO4	544	518	255	207
CEP295	839	645	481	379
SCARNA9	4	4	0	2
SNORA25	65	64	47	47
SNORA32	50	50	24	40
SNORD6	12	22	17	10
SNORA1	12	12	14	4
SNORA8	64	54	38	48
SNORD5	87	53	66	50
SNORA18	315	192	181	203
MIR1304	8	2	5	9
SNORA40	57	37	42	42
TAF1D	1926	1444	1152	1162
C11orf54	381	282	462	440
MED17	1415	1043	1266	1003
VSTM5	2	0	0	0
HEPHL1	1	2	2	1
PANX1	1019	1061	931	749
IZUMO1R	0	0	3	11
GPR83	18	11	35	17
MRE11A	684	646	520	656
MIR548L	0	0	0	0
ANKRD49	202	172	174	144
C11orf97	0	0	0	0
FUT4	300	271	189	133
PIWIL4	1	3	14	11
AMOTL1	1623	1282	1230	1321
CWC15	1120	737	673	683
KDM4D	87	64	52	59
KDM4E	0	0	0	0
SRSF8	1175	782	1411	1210
ENDOD1	1629	1164	1288	1226
LOC101929295	1	11	5	2
SESN3	30	46	62	88
LOC100129203	11	0	2	2
FAM76B	339	383	227	210
CEP57	658	555	459	463
MTMR2	1297	1068	844	723
MAML2	41	73	63	58
MIR1260B	0	2	0	0
CCDC82	214	150	127	144
JRKL	260	226	233	293
JRKL-AS1	0	0	0	0
CNTN5	0	1	0	0
ARHGAP42	522	332	515	545
TMEM133	37	31	29	45
PGR	0	0	0	0
LOC101054525	0	0	0	0
TRPC6	1	0	0	0
MIR3920	0	0	0	0
ANGPTL5	0	0	0	0
CEP126	40	39	64	63
C11orf70	0	0	0	0
YAP1	2790	1688	2447	2289
BIRC3	59	25	81	61
BIRC2	672	542	563	517
TMEM123	4966	3641	2628	2493
MMP7	20	22	5	1
MMP20	3	0	5	2
MMP27	0	0	0	0
MMP8	1	1	0	1
MMP10	3	0	0	0
WTAPP1	0	0	0	0
MMP1	1	0	3	1
MMP3	0	0	0	0
MMP12	0	0	0	0
MMP13	0	1	0	0
DCUN1D5	1308	1130	722	678
DYNC2H1	39	53	49	56
MIR4693	0	0	0	0
PDGFD	0	0	0	0
DDI1	0	0	0	0
MIR7641-1	0	0	0	0
LOC102723895	0	0	0	0
CASP12	0	0	0	0
LOC643733	0	0	0	0
CASP4	699	314	477	340
CASP5	1	0	0	0
CASP1	0	0	0	0
CARD16	0	0	0	0
CASP1P2	0	0	0	0
CARD17	0	0	0	0
CARD18	0	0	0	0
GRIA4	0	6	0	0
MSANTD4	545	447	622	582
KBTBD3	49	41	64	91
AASDHPPT	1491	1287	925	1054
LOC101928535	0	0	0	0
GUCY1A2	1	0	1	8
CWF19L2	232	122	116	127
ALKBH8	605	444	405	355
ELMOD1	58	74	43	73
LOC643923	7	18	11	2
SLN	0	0	1	4
SLC35F2	2871	2013	1901	1689
RAB39A	0	0	2	0
CUL5	1053	849	871	1023
ACAT1	2209	1807	1614	1704
NPAT	451	390	315	239
ATM	725	607	733	899
C11orf65	18	12	21	27
KDELC2	867	801	494	393
EXPH5	162	113	133	124
DDX10	2490	1536	1297	1329
C11orf87	1	0	0	0
ZC3H12C	443	379	371	352
RDX	1629	1481	1031	1123
FDX1	473	441	387	288
ARHGAP20	0	0	0	0
C11orf53	0	0	0	0
COLCA1	0	0	0	0
COLCA2	0	0	0	0
MIR4491	0	0	0	0
POU2AF1	0	1	1	2
LOC100132078	0	1	0	0
BTG4	0	0	0	0
MIR34B	0	0	0	0
MIR34C	0	0	0	0
C11orf88	0	0	0	0
LAYN	0	0	0	0
SIK2	671	543	451	313
PPP2R1B	1020	932	766	613
ALG9	645	454	526	434
FDXACB1	247	164	200	149
C11orf1	678	396	430	407
CRYAB	0	0	0	0
HSPB2	0	0	0	0
HSPB2-C11orf52	60	41	65	49
C11orf52	59	41	65	49
DIXDC1	295	259	326	270
DLAT	3221	3639	1898	1561
PIH1D2	81	51	57	49
C11orf57	1190	819	823	722
