GeneID	Chr	Start	End	Strand	Length
10185	LOC107984583	chr13	113213206	113218353	+	5148
10186	MIR8075	chr13	113262919	113262999	+	81
10187	LAMP1	chr13	113297238	113323672	+	26435
10188	GRTP1	chr13	113323251	113364158	-	40908
10189	GRTP1-AS1	chr13	113351672	113361868	+	10197
10190	LOC101928841	chr13	113399606	113420770	-	21165
10191	ADPRHL1	chr13	113421944	113453488	-	31545
10192	DCUN1D2	chr13	113455818	113492047	-	36230
10193	TMCO3	chr13	113490992	113550229	+	59238
10194	TFDP1	chr13	113584687	113641473	+	56787
10195	GRK1	chr13	113645770	113735664	+	89895
10196	ATP4B	chr13	113648803	113658198	-	9396
10197	LINC00552	chr13	113748510	113751089	-	2580
10198	LOC105377805	chr13	113751333	113759061	-	7729
10199	TMEM255B	chr13	113759225	113816995	+	57771
10200	GAS6-AS1	chr13	113815609	113842841	+	27233
10201	GAS6	chr13	113820548	113864076	-	43529
10202	GAS6-DT	chr13	113864176	113866832	+	2657
10203	LINC00454	chr13	113878627	113883486	-	4860
10204	LINC00452	chr13	113895102	113921317	+	26216
10205	LINC00565	chr13	113926513	113928991	-	2479
10206	LOC105377806	chr13	113936587	113944427	-	7841
10207	C13orf46	chr13	113953704	113974076	-	20373
10208	RASA3	chr13	113977785	114075652	-	97868
10209	LOC107987192	chr13	114125286	114126282	-	997
10210	LOC107984593	chr13	114126119	114127591	+	1473
10211	CFAP97D2	chr13	114173081	114223032	+	49952
10212	CDC16	chr13	114234844	114272723	+	37880
10213	MIR548AR	chr13	114244504	114244561	+	58
10214	LOC105370384	chr13	114272704	114281069	-	8366
10215	MIR4502	chr13	114273827	114273908	+	82
10216	UPF3A	chr13	114281600	114287786	+	6187
10217	CHAMP1	chr13	114314502	114327322	+	12821
10218	LINC01054	chr13	114329756	114333948	-	4193
10219	OR11H12	chr14	18601116	18602097	+	982
10220	LINC02297	chr14	18630535	18633634	-	3100
10221	POTEM	chr14	18967433	19003752	+	36320
10222	LOC100508046	chr14	18976747	18980793	-	4047
10223	LOC105378171	chr14	19042917	19051808	+	8892
10224	DUXAP9	chr14	19062376	19107497	+	45122
10225	BMS1P18	chr14	19083133	19093337	-	10205
10226	LNCRNA-ATB	chr14	19126529	19128974	+	2446
10227	DUXAP10	chr14	19294784	19337674	-	42891
10228	BMS1P17	chr14	19306689	19316914	+	10226
10229	LINC01297	chr14	19344328	19384288	-	39961
10230	LOC105378174	chr14	19348215	19357099	-	8885
10231	POTEG	chr14	19402485	19434341	-	31857
10232	LOC101929572	chr14	19421025	19424584	+	3560
10233	OR11H2	chr14	19712903	19714332	-	1430
10234	OR4Q3	chr14	19747427	19748369	+	943
10235	OR4M1	chr14	19780322	19781264	+	943
10236	OR4N2	chr14	19803769	19830253	+	26485
10237	OR4K3	chr14	19868196	19869173	-	978
10238	OR4K2	chr14	19876267	19877212	+	946
10239	OR4K1	chr14	19920262	19936736	+	16475
10240	OR4K5	chr14	19920606	19921578	+	973
10241	OR4K15	chr14	19975518	19976565	+	1048
10242	OR4Q2	chr14	20002061	20003192	+	1132
10243	OR4K14	chr14	20014260	20015193	-	934
10244	OR4K13	chr14	20033843	20034758	-	916
10245	OR4L1	chr14	20060044	20060983	+	940
10246	OR4K17	chr14	20117467	20118438	+	972
10247	OR4N5	chr14	20143735	20144662	+	928
10248	OR11G2	chr14	20197335	20198373	+	1039
10249	OR11H6	chr14	20223709	20224702	+	994
10250	OR11H7	chr14	20228980	20230749	+	1770
10251	OR11H4	chr14	20242791	20243766	+	976
10252	TTC5	chr14	20286226	20305951	-	19726
10253	CCNB1IP1	chr14	20311367	20333312	-	21946
10254	SNORA79B	chr14	20323178	20323326	-	149
10255	SNORD126	chr14	20326440	20326539	-	100
10256	PARP2	chr14	20343040	20357904	+	14865
10257	RPPH1	chr14	20343070	20343411	-	342
10258	TEP1	chr14	20365666	20413540	-	47875
10259	KLHL33	chr14	20425854	20435830	-	9977
10260	OSGEP	chr14	20446400	20454812	-	8413
10261	APEX1	chr14	20455225	20457767	+	2543
10262	PIP4P1	chr14	20457852	20461612	-	3761
10263	PNP	chr14	20469378	20478006	+	8629
10264	RNASE10	chr14	20510471	20511122	+	652
10265	RNASE9	chr14	20556092	20560931	-	4840
10266	RNASE11	chr14	20582891	20590258	-	7368
10267	LOC254028	chr14	20588223	20607221	+	18999
10268	RNASE12	chr14	20590072	20590823	-	752
10269	OR6S1	chr14	20640695	20641691	-	997
10270	LOC107984705	chr14	20655252	20666770	-	11519
10271	RNASE4	chr14	20684559	20701216	+	16658
10272	ANG	chr14	20688763	20694183	+	5421
10273	EDDM3A	chr14	20722390	20748380	+	25991
10274	LOC107984671	chr14	20725951	20800540	-	74590
10275	EDDM3B	chr14	20768403	20770948	+	2546
10276	RNASE6	chr14	20780955	20782467	+	1513
10277	LOC105370397	chr14	20788608	20810034	+	21427
10278	RNASE1	chr14	20801227	20802844	-	1618
10279	LOC100507513	chr14	20870234	20936826	-	66593
10280	RNASE3	chr14	20891402	20892348	+	947
10281	ECRP	chr14	20919340	20920176	+	837
10282	RNASE2	chr14	20955486	20956436	+	951
10283	METTL17	chr14	20989979	20997035	+	7057
10284	LOC101929718	chr14	20995836	20999163	-	3328
10285	SLC39A2	chr14	20999292	21001871	+	2580
10286	NDRG2	chr14	21016762	21026310	-	9549
10287	MIR6717	chr14	21023313	21023386	-	74
10288	TPPP2	chr14	21024261	21032168	+	7908
10289	RNASE13	chr14	21032817	21034807	-	1991
10290	RNASE7	chr14	21042361	21044233	+	1873
10291	LOC105370398	chr14	21046477	21049806	-	3330
10292	RNASE8	chr14	21057821	21058455	+	635
10293	ARHGEF40	chr14	21061275	21090243	+	28969
10294	ZNF219	chr14	21090075	21098945	-	8871
10295	TMEM253	chr14	21098936	21103724	+	4789
10296	LOC105378175	chr14	21135382	21135876	-	495
10297	OR5AU1	chr14	21154864	21156063	-	1200
10298	LINC00641	chr14	21200078	21206900	-	6823
10299	HNRNPC	chr14	21209135	21269479	-	60345
10300	RPGRIP1	chr14	21287976	21351301	+	63326
10301	SUPT16H	chr14	21351471	21384019	-	32549
10302	LOC107984643	chr14	21384092	21391806	+	7715
10303	CHD8	chr14	21385198	21456123	-	70926
10304	SNORD9	chr14	21392150	21392253	-	104
10305	SNORD8	chr14	21397292	21397401	-	110
10306	RAB2B	chr14	21459019	21476959	-	17941
10307	TOX4	chr14	21477194	21499170	+	21977
10308	METTL3	chr14	21498137	21511340	-	13204
10309	SALL2	chr14	21521079	21526402	-	5324
10310	OR10G3	chr14	21569802	21570744	-	943
10311	OR10G2	chr14	21633835	21634940	-	1106
10312	OR4E2	chr14	21665082	21666024	+	943
10313	OR4E1	chr14	21669911	21671017	-	1107
10314	LOC107984650	chr14	21706424	21712320	-	5897
10315	LOC107984649	chr14	22287068	22290734	-	3667
10316	LOC105370401	chr14	22379404	22432753	-	53350
10317	LOC112267867	chr14	22464504	22521881	-	57378
10318	LINC02332	chr14	22556310	22557062	-	753
10319	LOC105370399	chr14	22556952	22560075	+	3124
10320	DAD1	chr14	22564906	22589224	-	24319
10321	ABHD4	chr14	22598297	22612864	+	14568
10322	OR6J1	chr14	22633565	22634844	-	1280
10323	LOC107984651	chr14	22650325	22657877	-	7553
10324	LOC105370404	chr14	22705908	22766569	-	60662
10325	OXA1L	chr14	22766687	22773042	+	6356
10326	SLC7A7	chr14	22773221	22819811	-	46591
10327	MRPL52	chr14	22829886	22835037	+	5152
10328	MMP14	chr14	22836584	22847758	+	11175
10329	LRP10	chr14	22871739	22881713	+	9975
10330	REM2	chr14	22883164	22887678	+	4515
10331	RBM23	chr14	22893203	22919149	-	25947
10332	PRMT5-AS1	chr14	22919455	22923407	+	3953
10333	PRMT5	chr14	22920525	22929392	-	8868
10334	LOC101926933	chr14	22929608	22954692	+	25085
10335	HAUS4	chr14	22946227	22957142	-	10916
10336	MIR4707	chr14	22956949	22957029	-	81
10337	AJUBA	chr14	22971176	22976842	-	5667
10338	LOC107984660	chr14	22982693	23006634	+	23942
10339	C14orf93	chr14	22985893	23010143	-	24251
10340	PSMB5	chr14	23025850	23035220	-	9371
10341	PSMB11	chr14	23042211	23044060	+	1850
10342	CDH24	chr14	23049647	23057619	-	7973
10343	LOC105370705	chr14	23056022	23058476	+	2455
10344	ACIN1	chr14	23058563	23095614	-	37052
10345	LOC107984665	chr14	23095070	23104923	+	9854
10346	C14orf119	chr14	23095504	23100456	+	4953
10347	LMLN2	chr14	23099061	23104989	-	5929
10348	CEBPE	chr14	23117305	23119611	-	2307
10349	SLC7A8	chr14	23125294	23183660	-	58367
10350	RNF212B	chr14	23185283	23273477	+	88195
10351	LOC105370406	chr14	23195228	23214092	-	18865
10352	HOMEZ	chr14	23272421	23286132	-	13712
10353	PPP1R3E	chr14	23295651	23302859	-	7209
10354	BCL2L2	chr14	23306761	23311759	+	4999
10355	BCL2L2-PABPN1	chr14	23306832	23326185	+	19354
10356	PABPN1	chr14	23320187	23326185	+	5999
10357	SLC22A17	chr14	23346303	23354991	-	8689
10358	EFS	chr14	23356399	23365633	-	9235
10359	IL25	chr14	23372808	23376403	+	3596
10360	CMTM5	chr14	23376431	23379770	+	3340
10361	MYH6	chr14	23381989	23408277	-	26289
10362	MIR208A	chr14	23388595	23388666	-	72
10363	MYH7	chr14	23412739	23435677	-	22939
10364	MHRT	chr14	23415449	23417595	+	2147
10365	MIR208B	chr14	23417986	23418063	-	78
10366	NGDN	chr14	23469702	23478826	+	9125
10367	THTPA	chr14	23511759	23559581	+	47823
10368	ZFHX2	chr14	23520859	23530076	-	9218
10369	AP1G2	chr14	23559566	23567939	-	8374
10370	LOC102724814	chr14	23561096	23568076	+	6981
10371	JPH4	chr14	23568037	23578790	-	10754
10372	DHRS2	chr14	23636363	23645639	+	9277
10373	LOC105370407	chr14	23660281	23666253	+	5973
10374	LOC105370408	chr14	23692725	23698934	+	6210
10375	LOC105370410	chr14	23699475	23704397	+	4923
10376	LOC105370409	chr14	23699704	23729742	-	30039
10377	LINC00596	chr14	23838722	23933941	-	95220
10378	LOC105370411	chr14	23927913	23930014	-	2102
10379	DHRS4-AS1	chr14	23938730	23955112	-	16383
10380	DHRS4	chr14	23953734	23969279	+	15546
10381	DHRS4L2	chr14	23969873	24006408	+	36536
10382	DHRS4L1	chr14	24007083	24051377	+	44295
10383	CARMIL3	chr14	24052008	24069729	+	17722
10384	LOC105370412	chr14	24066783	24068189	-	1407
10385	CPNE6	chr14	24069832	24078100	+	8269
10386	NRL	chr14	24078699	24114949	-	36251
10387	PCK2	chr14	24094310	24104125	+	9816
10388	DCAF11	chr14	24115282	24125242	+	9961
10389	FITM1	chr14	24131465	24132849	+	1385
10390	PSME1	chr14	24136157	24138967	+	2811
10391	EMC9	chr14	24138958	24142602	-	3645
10392	PSME2	chr14	24143364	24146646	-	3283
10393	MIR7703	chr14	24143488	24143565	-	78
10394	RNF31	chr14	24146874	24160661	+	13788
10395	IRF9	chr14	24161264	24166565	+	5302
10396	REC8	chr14	24171930	24180408	+	8479
10397	IPO4	chr14	24180218	24188918	-	8701
10398	TM9SF1	chr14	24189142	24195736	-	6595
10399	TSSK4	chr14	24205523	24208362	+	2840
10400	CHMP4A	chr14	24209580	24213488	-	3909
10401	MDP1	chr14	24213936	24216070	-	2135
10402	NEDD8-MDP1	chr14	24213936	24232385	-	18450
10403	NEDD8	chr14	24216856	24232367	-	15512
10404	GMPR2	chr14	24232621	24239242	+	6622
10405	TINF2	chr14	24239639	24242674	-	3036
10406	TGM1	chr14	24249113	24263177	-	14065
10407	RABGGTA	chr14	24265537	24271627	-	6091
10408	DHRS1	chr14	24290597	24299780	-	9184
10409	LOC102725044	chr14	24291389	24298855	+	7467
10410	NOP9	chr14	24299849	24309124	+	9276
10411	CIDEB	chr14	24305095	24311435	-	6341
10412	LTB4R2	chr14	24310150	24312053	+	1904
10413	LTB4R	chr14	24311501	24318036	+	6536
10414	ADCY4	chr14	24318358	24335071	-	16714
10415	RIPK3	chr14	24336024	24339991	-	3968
10416	NFATC4	chr14	24366910	24379604	+	12695
10417	NYNRIN	chr14	24411456	24419283	+	7828
10418	CBLN3	chr14	24426544	24429668	-	3125
10419	KHNYN	chr14	24429946	24438408	+	8463
10420	SDR39U1	chr14	24439765	24442905	-	3141
10421	LOC101927045	chr14	24442952	24502197	+	59246
10422	CMA1	chr14	24505352	24508265	-	2914
10423	CTSG	chr14	24573517	24576250	-	2734
10424	GZMH	chr14	24606479	24609763	-	3285
10425	GZMB	chr14	24630953	24634190	-	3238
10426	LOC107984667	chr14	24633081	24638631	+	5551
10427	LOC105370413	chr14	24638650	24645234	+	6585
10428	STXBP6	chr14	24809653	24878808	-	69156
10429	LINC02286	chr14	25092842	25156383	-	63542
10430	LOC105370415	chr14	25246557	25252053	+	5497
10431	LOC112268135	chr14	25351294	25444310	+	93017
10432	LOC105370416	chr14	25827780	25830776	+	2997
10433	LINC02306	chr14	25835636	25838532	-	2897
10434	LOC105370418	chr14	26382233	26397324	-	15092
10435	NOVA1	chr14	26443089	26598033	-	154945
10436	LINC02588	chr14	26598646	26806467	+	207822
10437	LINC02294	chr14	26775494	26822120	-	46627
10438	LINC02293	chr14	26809347	26820703	+	11357
10439	MIR4307HG	chr14	26873132	26914743	+	41612
10440	MIR4307	chr14	26908641	26908725	+	85
10441	LOC105370419	chr14	26953823	26971075	+	17253
10442	LOC105370420	chr14	27077235	27207118	+	129884
10443	LOC105370421	chr14	27214183	27221252	-	7070
10444	LOC728755	chr14	27321825	27673221	-	351397
10445	LINC00645	chr14	27612587	27639636	+	27050
10446	MIR3171	chr14	27633204	27633278	-	75
10447	LOC107984684	chr14	28578051	28604811	+	26761
10448	LINC02300	chr14	28590788	28613632	-	22845
10449	FOXG1-AS1	chr14	28725241	28765319	-	40079
10450	FOXG1	chr14	28766786	28770277	+	3492
10451	LINC01551	chr14	28772703	28778560	+	5858
10452	LINC02282	chr14	28783490	28785787	-	2298
10453	LINC02281	chr14	28792017	28830162	-	38146
10454	LINC02327	chr14	28830350	28870414	+	40065
10455	LINC02326	chr14	28975675	29064973	-	89299
10456	LOC107984685	chr14	29007686	29104430	+	96745
10457	LOC102724934	chr14	29211122	29392047	-	180926
10458	PRKD1	chr14	29576478	29927847	-	351370
10459	LOC105370429	chr14	29928126	29936050	+	7925
10460	LOC105370430	chr14	30379186	30383621	+	4436
10461	LOC112267868	chr14	30411882	30503336	-	91455
10462	G2E3-AS1	chr14	30437991	30577357	-	139367
10463	LOC105370432	chr14	30503439	30513194	+	9756
10464	G2E3	chr14	30559122	30620064	+	60943
10465	SCFD1	chr14	30622314	30707980	+	85667
10466	COCH	chr14	30874495	30890618	+	16124
10467	LOC100506071	chr14	30876178	30889808	-	13631
10468	STRN3	chr14	30893807	31026401	-	132595
10469	MIR624	chr14	31014645	31014742	-	98
10470	AP4S1	chr14	31025105	31096450	+	71346
10471	HECTD1	chr14	31119769	31207483	-	87715
10472	LOC105370436	chr14	31271944	31276870	+	4927
10473	HEATR5A	chr14	31291787	31420550	-	128764
10474	LOC101927124	chr14	31420757	31452883	+	32127
10475	DTD2	chr14	31446035	31457506	-	11472
10476	GPR33	chr14	31482874	31488039	-	5166
10477	LOC105370438	chr14	31489955	31559496	+	69542
10478	LOC105370437	chr14	31553354	31561331	-	7978
10479	NUBPL	chr14	31772236	31861293	+	89058
10480	LINC02313	chr14	31944852	31950294	+	5443
10481	LOC105370440	chr14	32042605	32057380	+	14776
10482	ARHGAP5	chr14	32072587	32158132	+	85546
10483	ARHGAP5-AS1	chr14	32075418	32076699	-	1282
10484	RNU6-7	chr14	32202044	32202151	+	108
10485	RNU6-8	chr14	32203162	32203269	-	108
10486	AKAP6	chr14	32203609	32831051	+	627443
10487	LOC112268128	chr14	32690932	32693630	-	2699
10488	NPAS3	chr14	32934784	33804176	+	869393
10489	LOC105370443	chr14	33221915	33228190	-	6276
10490	SNORA89	chr14	33708936	33709113	+	178
10491	EGLN3	chr14	33924226	33951074	-	26849
10492	LOC107987210	chr14	33958830	33984596	-	25767
10493	LOC105370446	chr14	33959081	33964147	+	5067
10494	LOC102724945	chr14	33985023	34019036	-	34014
10495	EGLN3-AS1	chr14	34039693	34060069	+	20377
10496	LOC105370444	chr14	34095840	34099032	-	3193
10497	SPTSSA	chr14	34432787	34462240	-	29454
10498	EAPP	chr14	34515928	34539737	-	23810
10499	LOC105370447	chr14	34539748	34541706	+	1959
10500	LOC112268123	chr14	34541233	34543454	-	2222
10501	LOC105370449	chr14	34551436	34557453	-	6018
10502	SNX6	chr14	34561092	34630148	-	69057
10503	LOC107984628	chr14	34692883	34701359	-	8477
10504	CFL2	chr14	34709112	34714593	-	5482
10505	BAZ1A	chr14	34752730	34794694	-	41965
10506	LOC112268124	chr14	34874190	34876463	+	2274
10507	SRP54-AS1	chr14	34916479	34982566	-	66088
10508	IGBP1P1	chr14	34939921	34940496	+	576
10509	SRP54	chr14	34982897	35029567	+	46671
10510	FAM177A1	chr14	35044906	35083383	+	38478
10511	LOC101927178	chr14	35081080	35113130	+	32051
10512	PPP2R3C	chr14	35085471	35122662	-	37192
10513	PRORP	chr14	35122551	35277622	+	155072
10514	PSMA6	chr14	35278557	35317479	+	38923
10515	NFKBIA	chr14	35401509	35404754	-	3246
10516	LOC107984681	chr14	35475007	35482878	+	7872
10517	LOC105370450	chr14	35475921	35482697	-	6777
10518	INSM2	chr14	35534163	35537054	+	2892
10519	RALGAPA1	chr14	35538355	35809295	-	270941
10520	SNORA101B	chr14	35762799	35762931	-	133
10521	BRMS1L	chr14	35825595	35830773	+	5179
10522	LOC105370452	chr14	36046131	36067067	-	20937
10523	LINC00609	chr14	36070426	36165288	+	94863
10524	LOC105370451	chr14	36084013	36090032	-	6020
10525	PTCSC3	chr14	36135709	36176651	-	40943
10526	LOC107984003	chr14	36273314	36290490	+	17177
10527	MBIP	chr14	36298557	36320676	-	22120
10528	SFTA3	chr14	36473287	36519556	-	46270
10529	NKX2-1	chr14	36516396	36520232	-	3837
10530	NKX2-1-AS1	chr14	36519277	36523016	+	3740
10531	LOC105370453	chr14	36523103	36572246	+	49144
10532	NKX2-8	chr14	36580003	36582614	-	2612
10533	LOC105370455	chr14	36649196	36661690	-	12495
10534	PAX9	chr14	36657567	36677807	+	20241
10535	SLC25A21	chr14	36677317	37172359	-	495043
10536	LOC107984668	chr14	36848383	36852772	+	4390
10537	MIR4503	chr14	36952308	36952391	-	84
10538	SLC25A21-AS1	chr14	37172025	37173794	+	1770
10539	MIPOL1	chr14	37197931	37579207	+	381277
10540	LOC107984702	chr14	37384431	37390758	-	6328
10541	FOXA1	chr14	37589551	37595249	-	5699
10542	TTC6	chr14	37772382	37842696	+	70315
10543	LINC00517	chr14	37896059	37902124	-	6066
10544	LOC105370456	chr14	37999285	38039703	-	40419
10545	SSTR1	chr14	38207903	38213067	+	5165
10546	CLEC14A	chr14	38253999	38256093	-	2095
10547	LOC112268136	chr14	38256044	38386634	+	130591
10548	LINC00639	chr14	38749338	38916882	-	167545
10549	LOC105370457	chr14	38878729	38919201	+	40473
10550	LOC102723516	chr14	38951672	38973826	+	22155
10551	SEC23A	chr14	39031918	39103235	-	71318
10552	SEC23A-AS1	chr14	39103139	39103812	+	674
10553	LOC105370459	chr14	39109816	39114676	-	4861
10554	GEMIN2	chr14	39114283	39136973	+	22691
10555	TRAPPC6B	chr14	39147810	39170334	-	22525
10556	PNN	chr14	39175253	39183220	+	7968
10557	MIA2	chr14	39233915	39324671	+	90757
10558	LOC100288846	chr14	39265702	39267061	-	1360
10559	FBXO33	chr14	39396372	39432500	-	36129
10560	LOC105370460	chr14	39474015	39480342	+	6328
10561	LOC112267899	chr14	39483516	39492632	+	9117
10562	LOC105370461	chr14	39646476	39727709	+	81234
10563	LOC105370464	chr14	40217925	40265317	+	47393
10564	LOC105370463	chr14	40239882	40318425	-	78544
10565	LOC105370462	chr14	40318477	40390514	+	72038
10566	LOC105370465	chr14	40399165	40445475	+	46311
10567	LOC105370466	chr14	40576115	40629706	-	53592
10568	LOC105370467	chr14	40742040	40885742	+	143703
10569	LINC02315	chr14	40954710	41025789	+	71080
10570	LOC105370469	chr14	41583644	41608117	-	24474
10571	LRFN5	chr14	41606855	41904549	+	297695
10572	LOC105370470	chr14	43308520	43335865	+	27346
10573	LINC02307	chr14	43990682	44049497	-	58816
10574	LINC02277	chr14	44387679	44481886	-	94208
10575	FSCB	chr14	44504148	44507283	-	3136
10576	LOC105370473	chr14	44507408	44538513	+	31106
10577	LOC105370472	chr14	44586818	44595734	-	8917
10578	LINC02302	chr14	44763156	44799126	-	35971
10579	C14orf28	chr14	44897274	44907257	+	9984
10580	LOC101927418	chr14	44898907	44911917	-	13011
10581	KLHL28	chr14	44924323	44961965	-	37643
10582	TOGARAM1	chr14	44962218	45028222	+	66005
10583	LOC105370474	chr14	45082426	45083991	-	1566
10584	PRPF39	chr14	45084115	45116282	+	32168
10585	SNORD127	chr14	45110874	45110975	+	102
10586	FKBP3	chr14	45115291	45134460	-	19170
10587	FANCM	chr14	45135929	45200890	+	64962
10588	MIS18BP1	chr14	45203189	45257190	-	54002
10589	LOC107984674	chr14	45261903	45269709	+	7807
10590	LOC105370475	chr14	45369074	45389003	+	19930
10591	LOC105370476	chr14	45403352	45569061	+	165710
10592	LOC107984644	chr14	45688992	45696980	+	7989
10593	LINC02303	chr14	45706257	45715602	-	9346
10594	LOC105370478	chr14	45743632	45774009	+	30378
10595	LOC105378177	chr14	45855390	45857042	+	1653
10596	LINC00871	chr14	46064158	46501903	+	437746
10597	LOC105370480	chr14	46578518	46583454	+	4937
10598	LOC105370481	chr14	46595623	46660349	-	64727
10599	RPL10L	chr14	46651009	46651781	-	773
10600	MDGA2	chr14	46839622	47674954	-	835333
10601	MIR548Y	chr14	47760994	47761104	-	111
10602	LINC00648	chr14	47764952	47795014	-	30063
10603	LOC101927483	chr14	48194122	48228216	+	34095
10604	LOC105370482	chr14	48234198	48253174	-	18977
10605	LOC105378178	chr14	48427254	48998735	-	571482
10606	LOC107984682	chr14	49212728	49217889	+	5162
10607	LOC107984701	chr14	49525949	49528877	-	2929
10608	RPS29	chr14	49583571	49586416	-	2846
10609	LOC107987206	chr14	49586551	49588254	+	1704
10610	RN7SL1	chr14	49586579	49586878	+	300
10611	LRR1	chr14	49598696	49614672	+	15977
10612	RPL36AL	chr14	49618529	49620626	-	2098
10613	MGAT2	chr14	49620798	49623481	+	2684
10614	DNAAF2	chr14	49625173	49635230	-	10058
10615	POLE2	chr14	49643551	49688380	-	44830
10616	KLHDC1	chr14	49690461	49753152	+	62692
10617	KLHDC2	chr14	49767607	49786385	+	18779
10618	NEMF	chr14	49782082	49852792	-	70711
10619	RN7SL3	chr14	49853615	49853914	-	300
10620	LOC105378179	chr14	49860325	49868000	-	7676
10621	RN7SL2	chr14	49862550	49862849	-	300
10622	ARF6	chr14	49893081	49897054	+	3974
10623	LOC100506446	chr14	49919825	49963124	-	43300
10624	MIR6076	chr14	49966398	49966511	+	114
10625	LOC105370485	chr14	49987873	49990483	+	2611
10626	LINC01588	chr14	49999067	50006663	-	7597
10627	LINC01599	chr14	50007312	50105043	-	97732
10628	VCPKMT	chr14	50108636	50116572	-	7937
10629	SOS2	chr14	50117129	50231578	-	114450
10630	L2HGDH	chr14	50242433	50312229	-	69797
10631	MIR4504	chr14	50299854	50299946	-	93
10632	DMAC2L	chr14	50318006	50326715	+	8710
10633	CDKL1	chr14	50326264	50397298	-	71035
10634	MAP4K5	chr14	50418491	50483149	-	64659
10635	ATL1	chr14	50533081	50633068	+	99988
10636	SAV1	chr14	50633103	50668297	-	35195
10637	NIN	chr14	50724174	50823328	-	99155
10638	LOC105370489	chr14	50821796	50823509	+	1714
10639	LOC105370491	chr14	50837671	50860611	-	22941
10640	ABHD12B	chr14	50872052	50904970	+	32919
10641	PYGL	chr14	50905216	50944483	-	39268
10642	LOC105370492	chr14	50944633	50946699	+	2067
10643	LOC400212	chr14	50946295	50955991	-	9697
10644	TRIM9	chr14	50996066	51095704	-	99639
10645	TMX1	chr14	51240246	51257655	+	17410
10646	LINC00519	chr14	51304310	51328385	-	24076
10647	LINC00640	chr14	51333392	51365557	+	32166
10648	LOC105370495	chr14	51333398	51345457	-	12060
10649	LINC02310	chr14	51392128	51397135	-	5008
10650	FRMD6-AS2	chr14	51546628	51599952	-	53325
10651	FRMD6-AS1	chr14	51649515	51651744	-	2230
10652	FRMD6	chr14	51651909	51730727	+	78819
10653	LOC101927598	chr14	51816682	51825019	+	8338
10654	LOC102723604	chr14	51916144	51918571	-	2428
10655	GNG2	chr14	51940665	51969800	+	29136
10656	LOC105370497	chr14	51982519	51987547	-	5029
10657	RTRAF	chr14	51989545	52010694	+	21150
10658	NID2	chr14	52004808	52069059	-	64252
10659	LOC105378180	chr14	52069127	52074151	+	5025
10660	LINC02319	chr14	52110531	52125497	-	14967
10661	PTGDR	chr14	52267255	52276724	+	9470
10662	PTGER2	chr14	52314311	52328598	+	14288
10663	TXNDC16	chr14	52470592	52552563	-	81972
10664	GPR137C	chr14	52552835	52637713	+	84879
10665	ERO1A	chr14	52639918	52695750	-	55833
10666	PSMC6	chr14	52707199	52728590	+	21392
10667	STYX	chr14	52730165	52774989	+	44825
10668	GNPNAT1	chr14	52775192	52791607	-	16416
10669	LOC105370500	chr14	52791776	52818475	+	26700
10670	FERMT2	chr14	52857270	52951097	-	93828
10671	DDHD1	chr14	53036754	53153323	-	116570
10672	LOC101927620	chr14	53153353	53157528	+	4176
10673	LOC105370502	chr14	53168769	53201469	+	32701
10674	LOC112268134	chr14	53315960	53328687	+	12728
10675	LOC105370504	chr14	53365302	53766602	+	401301
10676	LINC02331	chr14	53685006	53850864	-	165859
10677	LOC107984676	chr14	53874308	53916897	-	42590
10678	MIR5580	chr14	53948426	53948484	-	59
10679	BMP4	chr14	53949735	53956891	-	7157
10680	LOC105370507	chr14	54109949	54188479	-	78531
10681	LOC105370505	chr14	54114798	54116267	+	1470
10682	CDKN3	chr14	54396867	54420218	+	23352
10683	CNIH1	chr14	54423560	54441374	-	17815
10684	GMFB	chr14	54474484	54488980	-	14497
10685	CGRRF1	chr14	54509895	54539310	+	29416
10686	LOC112268133	chr14	54604046	54614299	+	10254
10687	LOC729451	chr14	54684025	54687906	-	3882
10688	SAMD4A	chr14	54754832	54793312	+	38481
10689	GCH1	chr14	54842004	54902824	-	60821
10690	MIR4308	chr14	54878112	54878193	-	82
10691	WDHD1	chr14	54938948	55027106	-	88159
10692	SOCS4	chr14	55027130	55049489	+	22360
10693	MAPK1IP1L	chr14	55060169	55069544	+	9376
10694	LGALS3	chr14	55136982	55145430	+	8449
10695	DLGAP5	chr14	55148134	55191585	-	43452
10696	LOC105370508	chr14	55191694	55196037	+	4344
10697	LOC107984708	chr14	55207063	55218051	+	10989
10698	LOC105370509	chr14	55262230	55271971	-	9742
10699	FBXO34	chr14	55271420	55353611	+	82192
10700	ATG14	chr14	55366390	55411830	-	45441
10701	TBPL2	chr14	55414209	55440545	-	26337
10702	LOC107984664	chr14	55423100	55438584	+	15485
10703	KTN1-AS1	chr14	55576156	55580092	-	3937
10704	KTN1	chr14	55580206	55684584	+	104379
10705	RPL13AP3	chr14	55766244	55767717	+	1474
10706	LINC00520	chr14	55781134	55796674	-	15541
10707	LOC105370511	chr14	55898980	55900801	-	1822
10708	LOC102723670	chr14	55956449	55963519	+	7071
10709	LOC105370512	chr14	56041769	56046815	+	5047
10710	LOC105370513	chr14	56095645	56109852	-	14208
10711	LOC107984656	chr14	56214084	56226085	+	12002
10712	PELI2	chr14	56236132	56301586	+	65455
10713	LINC02284	chr14	56311016	56345069	+	34054
10714	LOC101927690	chr14	56514330	56551309	+	36980
