X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.2.sorted.bam
GOLGA6L22	0	0	0	0	0	0	0	0
HERC2P7	64	82	59	73	79	82	44	31
HERC2P2	2762	3970	2667	2458	4903	4133	2191	1807
LOC101927846	2	6	8	0	2	3	0	3
GOLGA8IP	0	0	3	0	2	4	1	1
WHAMMP3	99	106	65	69	96	72	43	34
LOC283683	4	11	9	10	16	10	9	4
NIPA1	2756	3936	2783	2414	4950	4356	2283	1933
NIPA2	3867	5313	3447	3457	6161	5439	2884	2535
CYFIP1	1232	1837	1108	1110	2216	1918	950	873
TUBGCP5	737	951	696	776	1341	1115	638	512
GOLGA6L1	2	0	3	1	0	0	0	0
GOLGA8DP	0	1	0	0	2	0	0	4
MIR4509-1	0	0	0	0	0	0	0	0
LOC102723534	204	263	180	171	264	255	118	103
LOC102723564	312	471	240	316	456	432	223	219
LOC102723623	2	0	1	0	0	0	0	0
LOC105376698	0	0	0	0	0	0	0	0
GOLGA8S	0	0	0	0	3	0	0	10
LOC105370726	0	0	1	0	1	0	0	0
LOC105370728	0	0	0	0	0	0	0	0
GOLGA6L2	0	0	0	0	0	0	0	0
LOC105370729	0	0	0	0	0	0	0	0
LOC105370730	0	0	0	0	0	0	0	0
LOC107984793	0	0	0	0	0	0	0	0
MIR4508	0	0	0	0	0	0	0	0
MKRN3	27	45	25	20	30	40	24	13
MAGEL2	0	0	0	0	0	0	0	0
NDN	18	22	18	14	20	20	10	11
LOC107984787	0	0	0	0	0	0	0	1
PWRN4	4	2	0	2	3	0	0	3
LOC105370734	0	0	0	0	0	0	0	0
LOC105370732	2	0	0	1	0	0	0	1
PWRN2	0	0	0	0	0	0	0	0
LOC102723749	0	0	0	0	0	0	0	0
LOC102725165	0	0	0	0	0	0	0	0
PWRN3	0	0	0	0	0	0	0	0
LOC105370733	0	0	0	0	0	0	0	0
PWRN1	0	1	1	0	0	0	0	0
NPAP1	0	0	0	0	0	0	0	0
SNHG14	8271	11224	7262	6288	13176	10888	6123	4919
SNRPN	2385	3316	2079	2003	3710	3259	1660	1543
SNURF	2385	3316	2079	2003	3710	3259	1660	1543
SNORD107	0	0	0	0	0	0	0	0
PWARSN	92	127	150	96	169	159	91	79
PWAR5	358	409	352	298	590	549	265	215
SNORD64	0	0	0	0	0	0	0	0
SNORD108	0	0	0	0	0	0	0	0
PWAR6	202	251	171	144	305	249	131	101
SNORD109A	0	0	0	0	0	0	0	0
SNORD116-1	0	0	0	0	0	0	0	0
SNORD116-2	0	0	0	0	0	0	0	0
SNORD116-3	0	0	0	0	0	0	0	0
SNORD116-4	0	0	0	0	0	0	0	0
SNORD116-5	0	0	0	0	0	0	0	0
SNORD116-6	0	0	0	0	0	0	0	0
SNORD116-7	0	0	0	0	0	0	0	0
SNORD116-8	0	0	0	0	0	0	0	0
SNORD116-9	0	0	0	0	0	0	0	0
SNORD116-10	0	0	0	0	0	0	0	0
SNORD116-11	0	0	0	0	0	0	0	0
SNORD116-12	0	0	0	0	0	0	0	0
SNORD116-13	0	0	0	0	0	0	0	0
SNORD116-14	0	0	0	0	0	0	0	0
SNORD116-15	0	0	0	0	0	0	0	0
SNORD116-16	0	0	0	0	0	0	0	0
SNORD116-17	0	0	0	0	0	0	0	0
SNORD116-18	0	0	0	0	0	0	0	0
SNORD116-19	0	0	0	0	0	0	0	0
SNORD116-20	0	0	0	0	0	0	0	0
SNORD116-21	0	0	0	0	0	0	0	0
SNORD116-22	0	0	0	0	0	0	0	0
SNORD116-23	0	0	0	0	0	0	0	0
SNORD116-24	0	0	0	0	0	0	0	0
SNORD116-25	0	0	0	0	0	0	0	0
SNORD116-26	0	0	0	0	0	0	0	0
SNORD116-27	0	0	0	0	0	0	0	0
SNORD116-28	0	0	0	0	0	0	0	0
SNORD116-29	0	0	0	0	0	0	0	0
SNORD116-30	0	0	0	0	0	0	0	0
IPW	217	274	198	105	375	316	159	111
PWAR1	9	10	4	3	6	6	9	5
SNORD115-1	0	0	0	0	0	0	0	0
SNORD115-2	0	0	0	0	0	0	0	0
SNORD115-3	0	0	0	0	0	0	0	0
SNORD115-4	0	0	0	0	0	0	0	0
SNORD115-5	0	0	0	0	0	0	0	0
SNORD115-6	0	0	0	0	0	0	0	0
SNORD115-7	0	0	0	0	0	0	0	0
SNORD115-8	0	0	0	0	0	0	0	0
SNORD115-9	0	0	0	0	0	0	0	0
SNORD115-10	0	0	0	0	0	0	0	0
SNORD115-11	0	0	0	0	0	0	0	0
SNORD115-12	0	0	0	0	0	0	0	0
SNORD115-13	0	0	0	0	0	0	0	0
SNORD115-14	0	0	0	0	0	0	0	0
SNORD115-15	0	0	0	0	0	0	0	0
SNORD115-16	0	0	0	0	0	0	0	0
SNORD115-17	0	0	0	0	0	0	0	0
SNORD115-18	0	0	0	0	0	0	0	0
SNORD115-19	0	0	0	0	0	0	0	0
SNORD115-20	0	0	0	0	0	0	0	0
SNORD115-21	0	0	0	0	0	0	0	0
SNORD115-22	0	0	0	0	0	0	0	0
PWAR4	0	0	0	0	0	0	0	0
SNORD115-23	0	0	0	0	0	0	0	0
SNORD115-24	0	0	0	0	0	0	0	0
SNORD115-25	0	0	0	0	0	0	0	0
SNORD115-26	0	0	0	0	0	0	0	0
SNORD115-27	0	0	0	0	0	0	0	0
SNORD115-28	0	0	0	0	0	0	0	0
SNORD115-29	0	0	0	0	0	0	0	0
SNORD115-30	0	0	0	0	0	0	0	0
SNORD115-31	0	0	0	0	0	0	0	0
SNORD115-32	0	0	0	0	0	0	0	0
SNORD115-33	0	0	0	0	0	0	0	0
SNORD115-34	0	0	0	0	0	0	0	0
SNORD115-35	0	0	0	0	0	0	0	0
SNORD115-36	0	0	0	0	0	0	0	0
SNORD115-37	0	0	0	0	0	0	0	0
SNORD115-38	0	0	0	0	0	0	0	0
SNORD115-39	0	0	0	0	0	0	0	0
SNORD115-40	0	0	0	0	0	0	0	0
SNORD115-41	0	0	0	0	0	0	0	0
SNORD115-42	0	0	0	0	0	0	0	0
SNORD115-43	0	0	0	0	0	0	0	0
SNORD115-44	0	0	0	0	0	0	0	0
SNORD115-45	0	0	0	0	0	0	0	0
SNORD115-46	0	0	0	0	0	0	0	0
SNORD115-47	0	0	0	0	0	0	0	0
SNORD115-48	0	0	0	0	0	0	0	0
SNORD109B	0	0	0	0	0	0	0	0
UBE3A	3647	4710	3312	3002	6011	4871	2727	2098
LINC02250	0	0	0	0	3	1	0	0
LOC107984789	5	5	1	1	4	10	5	1
ATP10A	72	122	81	84	171	139	57	46
LOC107984770	6	6	11	3	11	8	5	4
MIR4715	0	0	0	0	0	0	0	0
LOC105370738	0	0	0	0	0	1	0	0
LINC02346	2	1	0	0	0	0	0	0
LOC105370739	0	0	0	0	1	1	0	0
LINC00929	1	0	0	0	0	0	0	0
LINC02248	0	0	0	0	2	1	0	0
LOC105370740	0	0	1	0	0	0	0	0
GABRB3	0	3	1	1	3	1	0	0
LOC112268151	0	0	0	0	0	0	0	0
GABRA5	2	0	0	1	0	0	0	0
GABRG3	4	8	1	7	4	1	6	2
LOC107984766	0	0	0	0	0	0	0	0
GABRG3-AS1	0	0	0	0	0	0	0	0
LOC105370741	0	0	0	0	0	0	0	0
OCA2	8	20	6	11	17	9	13	11
HERC2	5409	8050	4595	4907	8664	7829	4231	3750
LOC645202	2	0	0	0	1	0	0	0
GOLGA8F	1	0	0	0	1	1	0	0
MIR4509-2	0	0	0	0	0	0	0	0
MIR4509-3	0	0	0	0	0	0	0	0
GOLGA8G	1	1	0	0	1	2	0	0
LOC100132202	2	0	0	0	1	0	0	0
HERC2P11	32	13	32	28	29	30	16	7
HERC2P9	1110	1473	1035	970	1820	1592	783	656
LOC107984746	1	1	0	0	1	3	0	1
GOLGA8M	5	1	3	1	0	7	0	1
WHAMMP2	71	120	81	51	109	111	64	28
LOC100289656	1	0	0	0	0	0	0	0
PDCD6IPP2	3	9	4	2	2	2	2	0
GOLGA6L7	2	2	0	0	0	0	0	0
APBA2	0	3	1	0	0	2	5	1
FAM189A1	923	1284	860	785	1556	1475	729	509
NSMCE3	899	1262	845	776	1529	1453	717	503
LOC100130111	0	0	2	0	0	1	0	0
LOC105370743	0	0	0	0	0	0	0	0
TJP1	9	29	16	7	18	20	5	7
GOLGA8J	5	10	4	6	11	9	7	6
ULK4P3	98	112	114	74	189	139	83	61
GOLGA8T	32	31	31	18	53	42	22	15
LOC105370747	0	0	0	0	0	1	0	0
LINC02249	0	0	0	0	0	0	0	0
CHRFAM7A	13	18	16	8	34	16	11	2
LOC102724055	0	0	0	0	0	0	0	0
LOC105370751	0	1	0	0	0	0	0	0
GOLGA8R	73	95	61	38	126	117	52	48
LOC101927788	67	94	71	63	134	116	39	52
LOC105376704	91	144	103	119	188	168	81	82
LOC100288203	1036	1352	951	780	1653	1377	659	592
LOC100996413	0	4	0	0	0	0	0	0
GOLGA8Q	59	68	43	34	88	84	41	31
DNM1P50	0	6	4	2	2	10	0	4
ULK4P2	178	230	164	164	313	261	129	104
LOC102725021	385	470	277	240	530	492	243	249
GOLGA8H	43	58	50	22	71	59	25	13
ARHGAP11B	2221	3039	1863	1632	3497	2814	1433	1274
LOC100288637	5677	7930	4824	4919	9615	8428	4528	3635
LOC107984025	7	7	6	6	13	14	3	2
LOC101930434	2	10	6	10	11	20	5	4
HERC2P10	56	96	41	57	105	92	37	32
FAN1	698	838	542	505	927	754	445	363
MTMR10	1576	2297	1211	1099	2291	1978	928	878
LOC105370752	0	0	0	0	0	0	0	0
MIR211	0	0	0	0	0	0	0	0
TRPM1	1	0	0	1	0	0	1	0
LINC02352	78	134	49	57	110	123	48	54
LOC283710	3208	4628	2380	2519	4550	4152	2179	1722
KLF13	9096	13856	7345	7539	13893	13121	6185	5762
LOC105376707	423	747	394	449	751	722	354	380
LOC105370939	13	29	3	4	8	8	4	5
LOC107987220	11	10	14	5	9	8	4	3
OTUD7A	486	611	536	371	841	676	387	327
LOC105370753	0	0	1	0	0	0	0	4
LOC105370940	0	0	0	0	0	0	0	0
CHRNA7	2	5	8	4	9	6	5	3
LOC105370754	0	0	0	0	0	0	0	0
LOC102724078	3	3	5	0	2	4	1	0
LOC105376709	0	0	0	0	0	0	0	0
LOC112268159	0	0	0	0	0	0	0	0
GOLGA8K	30	37	27	16	53	32	28	20
LOC107987221	11	13	12	2	9	19	8	7
ULK4P1	58	79	62	36	109	89	41	41
GOLGA8O	28	92	20	42	94	87	33	24
LOC105376710	5	6	6	6	15	9	1	1
LOC101060588	0	4	0	0	0	0	0	1
LOC100653133	14	16	13	6	20	30	3	10
LOC107987222	803	1003	716	601	1134	1017	549	425
WHAMMP1	1004	1293	836	742	1543	1298	706	573
LINC02256	171	245	166	206	318	288	148	123
LOC101928042	334	399	234	185	426	369	183	175
GOLGA8N	207	253	142	104	311	248	152	98
ARHGAP11A	3753	4630	3153	2777	5879	4494	2422	1990
ARHGAP11A-SCG5	4652	5948	3999	3499	7324	5755	3170	2610
SCG5	809	1184	736	635	1277	1113	685	542
LOC105370757	0	0	0	0	0	0	0	0
LOC105370756	0	0	0	0	0	0	0	0
GREM1	0	0	0	0	1	0	0	0
LOC100131315	0	0	0	0	0	0	0	0
LOC107984089	0	0	0	0	0	0	0	0
FMN1	13	16	0	12	11	15	4	5
LOC105370759	0	0	0	0	2	0	0	0
TMCO5B	0	0	0	0	0	2	0	0
LOC101928134	0	0	0	1	0	0	0	0
RYR3	20	14	23	18	34	27	21	10
AVEN	727	1085	611	635	1094	916	522	437
CHRM5	10	15	12	6	9	15	3	9
LOC107984748	16	6	7	4	29	12	9	10
EMC7	850	1283	832	871	1460	1220	628	593
PGBD4	429	520	400	359	664	576	318	229
KATNBL1	1876	2411	1429	1427	2684	2183	1196	1074
EMC4	888	1279	864	867	1562	1363	634	565
SLC12A6	3936	5829	3056	3000	5590	5337	2625	2269
NOP10	1664	2453	2156	1575	3197	2886	1379	1239
NUTM1	4	4	0	0	4	2	0	0
LPCAT4	1499	2075	1492	1416	2837	2511	1269	1136
GOLGA8A	17643	22422	17080	13652	33392	25917	15421	11844
MIR1233-1	0	0	0	0	0	0	0	0
GOLGA8B	29390	40301	26931	23481	52087	43299	23741	18337
MIR1233-2	0	0	0	0	0	0	0	0
LINC02252	0	0	0	0	0	0	0	0
GJD2	0	0	0	0	0	0	0	0
LOC101928174	0	0	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	1
LOC107984776	0	0	0	0	0	0	0	0
AQR	2404	3165	1930	1921	3674	3124	1775	1388
ZNF770	2428	2918	2315	2010	4283	3378	1881	1314
LOC105370764	2	0	0	0	0	0	1	0
LOC105370763	0	0	2	2	0	2	0	0
LOC105370765	8	33	7	9	26	18	13	6
NANOGP8	0	0	3	0	0	0	0	0
DPH6	946	1367	717	728	1376	1242	615	560
ANP32AP1	5	10	18	8	12	16	8	7
MIR3942	0	0	0	0	0	0	0	0
DPH6-DT	406	554	257	288	538	476	258	213
LOC105370766	0	2	1	1	6	0	0	0
MIR4510	0	0	0	0	0	0	0	0
LINC02853	0	0	0	0	0	0	0	0
LOC102724214	1	0	5	0	7	2	0	1
LOC105370767	0	0	0	0	2	0	0	0
LOC105370769	0	1	0	0	0	0	0	0
LOC105370768	0	0	0	0	0	1	0	0
LOC105370770	0	0	0	0	0	0	0	0
C15orf41	1658	2195	1226	1142	2475	1984	1004	940
CSNK1A1P1	0	2	0	1	3	0	0	0
LOC145845	0	0	0	0	1	0	0	0
MEIS2	799	976	682	678	1337	1111	628	545
MIR8063	0	0	0	0	0	0	0	0
LOC105370772	4	4	5	1	1	1	0	0
LOC105370773	0	0	0	0	0	0	0	0
TMCO5A	0	0	0	0	0	0	0	0
LOC107984774	0	2	1	1	0	0	1	0
LINC02345	0	0	0	0	2	0	0	0
LINC01852	2	6	0	1	4	4	2	3
LOC107984760	0	3	0	0	1	0	0	2
SPRED1	281	294	285	212	463	392	237	133
FAM98B	1524	2055	1499	1410	2573	2073	1193	907
RASGRP1	2196	3042	1799	1869	3639	3099	1622	1321
LOC105370774	68	76	31	21	57	70	26	43
LOC107984739	1	0	0	0	0	0	0	0
LOC107984725	1	3	1	1	3	1	2	0
LOC105370775	30	46	10	10	21	20	11	8
LINC02694	6	5	2	1	3	5	2	4
LOC105370776	0	0	0	0	0	0	0	0
LOC102724253	3	0	0	0	0	0	0	0
LOC105370777	0	0	0	0	1	0	0	0
LOC105370781	1	3	0	0	0	3	2	0
LOC105370780	0	0	0	0	0	0	0	0
C15orf54	4	0	0	0	0	0	0	0
LOC105370783	1	0	0	0	0	0	0	0
LOC105370784	0	0	0	0	0	0	0	0
THBS1	0	2	0	0	3	0	2	0
LOC105370785	1	0	0	0	0	0	0	0
FSIP1	33	33	45	14	57	35	24	30
LOC105370941	68	77	41	32	84	56	22	26
GPR176	10	7	3	6	7	3	9	2
LOC105370786	0	2	0	2	1	1	3	0
GPR176-DT	3	5	4	0	3	5	0	3
EIF2AK4	3506	4631	1961	2044	3918	3136	1977	1505
SRP14	5542	7271	4572	5326	9419	7791	4048	3540
SRP14-AS1	1590	2053	1164	1031	1933	1590	908	786
LOC105370787	0	0	1	1	2	6	1	3
BMF	3368	5236	2562	2344	4481	4587	2279	1951
BUB1B	4094	5398	3416	3199	6411	5280	2829	2367
LOC107984763	10	12	6	4	8	21	8	12
BUB1B-PAK6	599	729	507	425	907	794	395	310
PAK6	18	10	14	14	43	43	16	15
C15orf56	0	2	0	0	0	1	0	0
ANKRD63	0	2	6	1	1	5	3	0
PLCB2	433	630	368	323	664	688	340	308
LOC112268152	0	1	0	0	1	2	0	0
INAFM2	79	133	80	88	176	141	86	71
CCDC9B	9	14	8	5	34	13	6	2
PHGR1	0	0	0	0	0	0	0	0
DISP2	1	12	4	1	0	9	5	0
KNSTRN	1076	1410	869	844	1508	1261	724	596
IVD	1150	1750	972	1060	1985	1827	906	850
BAHD1	1197	1833	1059	1017	1860	1632	870	772
CHST14	267	437	254	227	493	473	263	182
CCDC32	3284	4988	2241	2181	4051	3637	1891	1634
MRPL42P5	16	21	15	5	11	9	7	8
RPUSD2	422	637	358	444	683	661	308	305
KNL1	4778	5830	3331	2981	6658	5135	2847	2147
RAD51-AS1	310	440	206	216	402	347	226	166
RAD51	945	1202	777	724	1569	1301	688	582
RMDN3	1234	1882	1280	1310	2289	1995	1079	989
GCHFR	572	876	517	448	998	846	463	351
DNAJC17	971	1423	821	874	1528	1509	688	661
C15orf62	48	59	25	26	50	54	31	21
ZFYVE19	840	1133	664	589	1191	1001	567	439
PPP1R14D	0	0	0	1	6	0	0	0
SPINT1-AS1	22	40	26	24	31	33	12	17
SPINT1	321	464	352	293	590	564	315	228
RHOV	277	346	269	208	363	341	217	148
VPS18	671	1016	595	686	1091	1125	576	567
LOC105370943	17	18	6	4	14	19	3	11
DLL4	5	8	4	7	19	6	3	4
CHAC1	193	239	129	129	286	292	142	138
LOC105370789	5	11	13	6	12	15	5	2
LOC112268144	2	11	4	2	20	12	7	1
INO80	2087	2825	1484	1687	2915	2651	1399	1171
LOC105376713	1	3	1	4	4	4	0	0
EXD1	2	5	5	0	6	7	2	2
CHP1	1506	2144	1290	1356	2371	2243	1074	922
OIP5-AS1	6132	8231	5849	5311	10973	9271	4710	3681
OIP5	773	1158	666	667	1277	1109	545	536
NUSAP1	5657	7341	4316	3580	7981	6691	3604	2751
NDUFAF1	566	863	534	549	994	906	454	427
RTF1	2663	3967	2432	2407	4595	4062	1945	1896
LOC105370790	7	13	3	4	7	7	3	1
ITPKA	43	78	40	57	76	80	40	36
LTK	72	101	54	58	97	81	41	36
RPAP1	1251	1830	1115	1115	1957	1854	955	857
TYRO3	7	1	1	6	10	8	2	2
LOC105370791	0	0	0	0	0	0	0	0
MGA	2110	2867	1723	1446	3073	2637	1434	1230
MIR626	0	0	0	0	0	0	0	0
MAPKBP1	1777	2491	1416	1472	2731	2463	1331	1078
JMJD7-PLA2G4B	1069	1614	777	774	1636	1527	777	634
JMJD7	418	580	312	310	666	633	302	252
PLA2G4B	487	786	368	364	747	699	363	297
SPTBN5	177	274	147	136	304	256	103	100
MIR4310	0	0	0	0	0	0	0	0
LOC105370792	26	42	19	21	43	38	19	15
EHD4	4362	5819	4075	3884	6987	6375	3487	2908
EHD4-AS1	13	2	4	7	10	8	5	1
PLA2G4E-AS1	8	17	17	6	21	13	13	10
PLA2G4E	21	27	13	6	24	16	13	10
LOC105370793	0	0	0	0	0	1	0	0
PLA2G4D	0	2	1	1	0	6	0	0
PLA2G4F	5	3	0	0	0	0	0	0
VPS39	3908	5494	3142	2968	5913	5196	2739	2305
MIR627	0	0	0	0	0	0	0	0
LOC105370795	2	5	3	1	3	3	1	0
TMEM87A	1990	2644	1471	1433	2837	2349	1257	1018
GANC	2547	3541	1726	1784	3549	2987	1688	1375
LOC105370794	1	1	0	0	3	0	0	0
CAPN3	541	824	404	351	706	638	347	295
ZNF106	4744	6552	4438	4040	8090	6758	3919	3040
SNAP23	2374	3486	2148	2177	3961	3582	1739	1656
LRRC57	695	955	525	546	975	845	439	372
HAUS2	1280	1656	1093	976	1872	1516	876	742
STARD9	3270	4226	2739	2322	5174	4402	2439	1812
CDAN1	348	435	234	245	482	447	228	195
TTBK2	1906	2694	1583	1589	2962	2602	1409	1025
UBR1	3398	4648	2979	2979	5698	4613	2613	2072
TMEM62	1419	1860	961	989	1938	1728	802	756
CCNDBP1	1689	2252	1283	1029	2195	1898	922	756
EPB42	1	1	1	0	0	0	0	0
TGM5	86	112	99	75	183	181	110	51
TGM7	5	4	2	2	2	2	0	6
LCMT2	306	450	318	332	586	523	272	261
ADAL	531	667	383	403	676	601	354	289
ZSCAN29	808	1164	665	676	1207	1050	642	498
TUBGCP4	1439	1936	1349	1328	2492	2282	1121	941
TP53BP1	2355	3587	2042	2046	3912	3093	1966	1509
MAP1A	7	2	8	10	14	13	3	6
PPIP5K1	2252	3137	1834	1776	3314	2967	1691	1508
CKMT1B	0	4	5	6	0	2	0	4
STRC	52	96	87	42	94	74	78	40
CATSPER2	371	572	406	351	702	575	321	216
PPIP5K1P1-CATSPER2	2167	3230	1955	1871	3538	3036	1696	1466
CKMT1A	0	2	4	6	0	2	0	4
STRCP1	56	114	78	51	113	88	84	40
CATSPER2P1	252	343	220	192	433	293	150	176
PDIA3	7358	10318	8217	8298	15453	13710	6838	6101
ELL3	387	495	299	300	592	563	275	250
SERF2	12828	19125	12112	10785	21086	20206	9185	9692
SERF2-C15ORF63	14095	20981	13997	12209	23654	22469	10216	10805
MIR1282	7	5	5	3	12	23	2	2
SERINC4	8	14	7	8	22	12	3	4
HYPK	801	1218	1482	1018	1866	1544	714	824
MFAP1	1686	2293	1778	1775	3190	2597	1635	1311
WDR76	1524	1990	1655	1526	3076	2596	1344	1161
FRMD5	9	16	19	12	29	35	12	20
PIN4P1	1	0	4	4	3	1	1	0
CASC4	1541	2262	1354	1478	2752	2382	1281	1068
CTDSPL2	2932	3687	2647	2437	5059	4273	2170	1789
EIF3J-DT	282	442	155	166	300	290	168	119
EIF3J	2485	3301	2330	2610	4296	3654	1916	1724
SPG11	4976	7416	3836	3777	7440	6840	3312	2814
PATL2	1243	1697	813	681	1441	1233	668	608
B2M	71244	96799	69270	60212	121357	107393	52069	42724
MIR10393	0	0	0	0	0	0	0	0
LOC100419583	2899	3847	2295	1934	4011	3498	1729	1482
TRIM69	1773	2373	1831	1676	3250	2849	1462	1168
SORD2P	2113	2729	2296	1999	3936	3342	2021	1515
LOC105370798	0	0	1	0	0	0	0	0
TERB2	0	0	0	0	0	0	0	0
SORD	1187	1473	1339	1258	2178	1799	1052	901
DUOX2	2	2	2	2	2	2	1	1
DUOXA2	0	0	0	0	0	0	0	0
DUOXA1	0	0	0	0	5	2	1	3
DUOX1	6	8	9	7	13	17	4	4
SHF	115	177	124	100	205	199	112	87
LOC101928414	81	129	73	43	117	81	65	46
SLC28A2	0	0	0	0	0	1	0	0
GATM	1484	2088	2191	2059	4477	4062	1892	1461
SPATA5L1	506	591	412	436	755	731	364	339
C15orf48	3	5	3	3	6	9	2	1
MIR147B	0	0	0	0	0	0	0	0
LOC107987223	0	0	0	0	0	0	0	0
LOC105376714	4	2	4	6	2	3	4	0
SLC30A4	401	636	215	242	453	415	191	167
HMGN2P46	10	15	10	11	20	7	6	6
SNORA41B	0	0	0	0	0	0	0	0
BLOC1S6	3693	4984	2831	2602	5491	4827	2333	1900
SQOR	1120	1570	1060	922	1890	1492	876	738
LOC105370802	9	23	8	8	16	7	13	5
LOC107984794	0	2	0	0	3	0	0	0
LOC105370803	0	3	0	0	2	1	1	0
LOC107984733	0	0	0	0	0	0	0	0
SEMA6D	14	14	7	11	24	11	8	2
LOC105370804	0	1	0	0	0	0	0	0
LINC01491	0	1	0	2	0	0	0	0
LOC105370805	5	2	0	2	2	5	0	0
LOC102724553	38	41	26	20	35	42	9	12
LOC107984792	0	1	0	0	0	0	0	0
LOC107984136	0	0	0	0	0	0	0	0
SLC24A5	0	4	0	1	2	4	1	1
MYEF2	3614	4486	2707	2289	4666	3902	2177	1716
LOC105370807	0	0	0	0	0	0	1	0
CTXN2	1	5	1	0	5	2	2	0
SLC12A1	0	3	1	3	1	1	0	0
LOC112267905	0	1	0	1	1	0	1	0
LOC107984756	0	1	1	0	2	0	1	0
LOC107984758	5	1	0	8	7	9	0	3
LOC107984755	33	24	18	25	34	48	24	15
LOC107984757	0	0	0	0	0	1	0	0
DUT	2531	3640	2397	2436	4963	4395	2024	1850
FBN1	1381	1954	975	921	1711	1579	880	713
LOC105370809	25	41	17	10	27	17	20	7
CEP152	2492	2897	1801	1594	3672	2870	1655	1143
LOC101928472	0	0	0	0	0	0	0	0
SHC4	17	23	21	17	31	33	7	8
EID1	3092	4063	2913	2640	5175	4388	2195	1946
SECISBP2L	5057	6709	3011	2871	5494	5079	2495	1973
COPS2	2394	2920	2330	1928	3890	3083	1695	1344
GALK2	2623	3954	2100	2141	4009	3681	1859	1609
NDUFAF4P1	10	11	8	6	16	10	9	4
MIR4716	0	0	0	0	0	0	0	0
FAM227B	444	635	291	271	508	451	249	180
FGF7	1	3	3	4	4	1	2	4
LOC105370811	0	0	0	0	0	3	0	1
DTWD1	794	1048	665	635	1320	1079	610	434
ATP8B4	15	20	9	15	22	17	11	16
LOC102724587	0	0	0	0	0	0	0	0
SLC27A2	13	17	28	38	46	20	24	26
HDC	0	0	0	0	1	0	1	1
GABPB1	2447	3363	1890	1873	3291	2736	1622	1331
GABPB1-IT1	569	741	388	376	694	624	388	270
GABPB1-AS1	993	1279	768	615	1192	938	565	481
MIR4712	138	121	63	72	172	117	89	50
USP8	3552	4845	2800	2701	5294	4396	2363	1934
LOC107984741	1	4	0	5	0	4	2	1
USP50	15	14	21	21	28	33	8	8
TRPM7	5709	7849	4203	3830	7774	6599	3627	2877
SPPL2A	2718	3845	2097	2082	3893	3443	1735	1462
AP4E1	1506	1972	1443	1327	2541	2035	1152	968
DCAF13P3	15	32	13	21	32	23	9	15
MIR4713HG	11	13	5	7	12	18	14	12
TNFAIP8L3	5	17	23	9	40	20	10	9
CYP19A1	5	1	8	1	6	6	3	1
MIR4713	0	0	0	0	0	0	0	0
MIR7973-2	0	0	0	0	0	0	0	0
MIR7973-1	0	0	0	0	0	0	0	0
LOC112268146	0	0	0	0	0	0	0	0
GLDN	2	4	0	3	0	4	0	0
DMXL2	1197	1551	1071	907	1984	1562	858	627
LOC105370816	0	0	0	0	0	0	0	0
SCG3	0	6	0	1	0	0	0	0
LYSMD2	1225	1771	1021	910	1904	1659	873	717
TMOD2	1064	1478	871	846	1494	1264	659	629
TMOD3	2762	3651	2464	2371	4626	4176	2079	1563
LOC100422556	8	21	13	7	23	30	5	14
LOC112268148	254	371	201	184	425	346	191	164
LEO1	1361	1723	1289	1155	2304	1887	1035	898
LOC112268149	24	43	13	17	25	21	28	14
MAPK6-DT	23	16	15	15	48	13	10	18
MAPK6	3108	4230	3046	2815	6034	4768	2590	2045
LOC112268150	452	597	352	281	561	455	255	220
BCL2L10	89	123	84	58	166	125	47	34
GNB5	843	1166	780	684	1393	1276	564	496
CERNA1	52	61	24	27	62	56	29	21
MYO5C	70	115	88	63	156	113	54	46
LOC105370820	46	82	68	41	112	90	60	20
MIR1266	0	0	0	0	0	0	0	0
LOC105370819	0	0	0	0	0	0	0	0
MYO5A	3561	5125	2920	2914	5791	4865	2517	2052
ARPP19	4542	5861	4109	3803	7495	6675	3404	2725
FAM214A	5593	7800	3551	3325	6973	6134	2912	2479
LOC105370821	18	25	8	22	24	19	9	6
ONECUT1	0	0	0	0	0	2	0	0
LOC105370824	0	0	0	0	0	0	0	0
LOC101928499	0	0	0	0	0	0	0	0
LOC107983981	7	7	3	6	6	7	1	4
LOC105370823	0	0	0	0	0	0	0	0
LINC02490	0	0	0	0	0	0	0	0
LOC105370826	0	1	0	0	1	2	0	0
WDR72	0	1	0	0	0	1	0	0
UNC13C	121	111	80	64	147	114	62	46
LOC105370827	0	0	0	0	0	0	0	0
LOC105370829	1	2	1	0	1	0	3	2
RSL24D1	3844	5164	2902	2626	5211	4299	2203	2066
